NatDex;Pokemon;HP;Atk;Def;SpA;SpD;Spe;Total;Type I;Type II;Ability I;Ability II;Hidden Ability;EV Worth;Gender;Egg Group I;Egg Group II;Catch;Evolve;
431;Glameow;49;55;42;42;37;85;310.0;Normal;N/A;Limber;Own Tempo;Keen Eye;1 Spe;F (75%);Field;N/A;190;N/A;
432;Purugly;71;82;64;64;59;112;452.0;Normal;N/A;Thick Fat;Own Tempo;Defiant;2 Spe;F (75%);Field;N/A;75;Lv. 38;
433;Chingling;45;30;50;65;50;45;285.0;Psychic;N/A;Levitate;N/A;N/A;1 SpA;Neutral;-;N/A;120;N/A;
434;Stunky;63;63;47;41;41;74;329.0;Poison;Dark;Stench;Aftermath;Keen Eye;1 Spe;Neutral;Field;N/A;225;N/A;
435;Skuntank;103;93;67;71;61;84;479.0;Poison;Dark;Stench;Aftermath;Keen Eye;2 HP;Neutral;Field;N/A;60;Lv. 34;
436;Bronzor;57;24;86;24;86;23;300.0;Steel;Psychic;Levitate;Heatproof;Heavy Metal;1 Def;N/A;Mineral;N/A;255;N/A;
437;Bronzong;67;89;116;79;116;33;500.0;Steel;Psychic;Levitate;Heatproof;Heavy Metal;1 Def/1 SpD;N/A;Mineral;N/A;90;Lv. 33;
438;Bonsly;50;80;95;10;45;10;290.0;Rock;N/A;Sturdy;Rock Head;Rattled;1 Def;Neutral;-;N/A;255;N/A;
439;Mime Jr.;20;25;45;70;90;60;310.0;Psychic;Fairy;Soundproof;Filter;Technician;1 SpD;Neutral;-;N/A;145;N/A;
440;Happiny;100;5;5;15;65;30;220.0;Normal;N/A;Natural Cure;Serene Grace;Friend Guard;1 HP;F (100%);-;N/A;130;N/A;
441;Chatot;76;65;45;92;42;91;411.0;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;1 Atk;Neutral;Flying;N/A;30;N;
442;Spiritomb;50;92;108;92;108;35;485.0;Ghost;Dark;Pressure;N/A;Infiltrator;1 Def/1 SpD;Neutral;Amorphous;N/A;100;N;
443;Gible;58;70;45;40;45;42;300.0;Dragon;Ground;Sand Veil;N/A;Rough Skin;1 Atk;Neutral;Monster;Dragon;45;N/A;
444;Gabite;68;90;65;50;55;82;410.0;Dragon;Ground;Sand Veil;N/A;Rough Skin;2 Atk;Neutral;Monster;Dragon;45;Lv. 24;
445;Garchomp;108;130;95;80;85;102;600.0;Dragon;Ground;Sand Veil;N/A;Rough Skin;3 Atk;Neutral;Monster;Dragon;45;Lv. 48;
445;Mega Garchomp;108;170;115;120;95;92;700.0;Dragon;Ground;Sand Force;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
446;Munchlax;135;85;40;40;85;5;390.0;Normal;N/A;Pickup;Thick Fat;Gluttony;1 HP;M (87.5%);-;N/A;50;N/A;
447;Riolu;40;70;40;35;40;60;285.0;Fighting;N/A;Steadfast;Inner Focus;Prankster;1 Atk;M (87.5%);-;N/A;75;N/A;
448;Lucario;70;110;70;115;70;90;525.0;Fighting;Steel;Steadfast;Inner Focus;Justified;1 Atk/1 SpA;M (87.5%);Field;Human-Like;45;Morn/Day Friendship;
448;Mega Lucario;70;145;88;140;70;112;625.0;Fighting;Steel;Adaptability;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
448;Mega Lucario Z;70;100;70;164;70;151;625.0;Fighting;Steel;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
449;Hippopotas;68;72;78;38;42;32;330.0;Ground;N/A;Sand Stream;N/A;Sand Force;1 Def;Neutral;Field;N/A;140;N/A;
450;Hippowdon;108;112;118;68;72;47;525.0;Ground;N/A;Sand Stream;N/A;Sand Force;2 Def;Neutral;Field;N/A;60;Lv. 34;
451;Skorupi;40;50;90;30;55;65;330.0;Poison;Bug;Battle Armor;Sniper;Keen Eye;1 Def;Neutral;Bug;Water 3;120;N/A;
452;Drapion;70;90;110;60;75;95;500.0;Poison;Dark;Battle Armor;Sniper;Keen Eye;2 Def;Neutral;Bug;Water 3;45;Lv. 40;
453;Croagunk;48;61;40;61;40;50;300.0;Poison;Fighting;Anticipate;Dry Skin;Poison Touch;1 Atk;Neutral;Human-Like;N/A;140;N/A;
454;Toxicroak;83;106;65;86;65;85;490.0;Poison;Fighting;Anticipate;Dry Skin;Poison Touch;2 Atk;Neutral;Human-Like;N/A;75;Lv. 37;
455;Carnivine;74;100;72;90;72;46;454.0;Grass;N/A;Levitate;N/A;N/A;2 Atk;Neutral;Grass;N/A;200;N;
456;Finneon;49;49;56;49;61;66;330.0;Water;N/A;Swift Swim;Storm Drain;Water Veil;1 Spe;Neutral;Water 2;N/A;190;N/A;
457;Lumineon;69;69;76;69;86;91;460.0;Water;N/A;Swift Swim;Storm Drain;Water Veil;2 Spe;Neutral;Water 2;N/A;75;Lv. 31;
458;Mantyke;45;20;50;60;120;50;345.0;Water;Flying;Swift Swim;Water Absorb;N/A;1 SpD;Neutral;-;N/A;25;N/A;
459;Snover;60;62;50;62;60;40;334.0;Ice;Grass;Snow Warning;N/A;Soundproof;1 Atk;Neutral;Monster;Grass;120;N/A;
460;Abomasnow;90;92;75;92;85;60;494.0;Ice;Grass;Snow Warning;N/A;Soundproof;1 Atk/1 SpA;Neutral;Monster;Grass;60;Lv. 40;
460;Mega Abomasnow;90;132;105;132;105;30;594.0;Ice;Grass;Snow Warning;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
461;Weavile;70;120;65;45;85;125;510.0;Dark;Ice;Pressure;N/A;Pickpocket;1 Atk/1 Spe;Neutral;Field;N/A;45;Nite Level h/ Razor Claw;
462;Magnezone;70;70;115;130;90;60;535.0;Electric;Steel;Magnet Pull;Sturdy;Analytic;3 SpA;N/A;Mineral;N/A;30;Level a/ Mt. Coronet;
463;Lickilicky;110;85;95;80;95;50;515.0;Normal;N/A;Own Tempo;Oblivious;Cloud Nine;3 HP;Neutral;Monster;N/A;30;Level w/ Rollout;
464;Rhyperior;115;140;130;55;55;40;535.0;Ground;Rock;Lightningrod;Solid Rock;Regenerator;3 Atk;Neutral;Monster;Field;30;Trade h/ Protector;
465;Tangrowth;100;100;125;110;50;50;535.0;Grass;N/A;Chlorophyll;Leaf Guard;Regenerator;2 Def;Neutral;Grass;N/A;30;Level w/ Ancientpower;
466;Electivire;75;123;67;95;85;95;540.0;Electric;N/A;Motor Drive;N/A;Vital Spirit;3 Atk;M (75%);Human-Like;N/A;30;Trade h/ Electrizer;
467;Magmortar;75;95;67;125;95;83;540.0;Fire;N/A;Flame Body;N/A;Vital Spirit;3 SpA;M (75%);Human-Like;N/A;30;Trade h/ Magmarizer;
468;Togekiss;85;50;95;120;115;80;545.0;Fairy;Flying;Hustle;Serene Grace;Super Luck;2 SpA/1 SpD;M (87.5%);Flying;Fairy;30;Shiny Stone;
469;Yanmega;86;76;86;116;56;95;515.0;Bug;Flying;Speed Boost;Tinted Lens;Frisk;2 Atk;Neutral;Bug;N/A;30;Level w/ Ancientpower;
470;Leafeon;65;110;130;60;65;95;525.0;Grass;N/A;Leaf Guard;N/A;Chlorophyll;2 Def;M (87.5%);Field;N/A;45;Level a/ Moss Rock;
471;Glaceon;65;60;110;130;95;65;525.0;Ice;N/A;Snow Cloak;N/A;Ice Body;2 SpA;M (87.5%);Field;N/A;45;Level a/ Ice Rock;
472;Gliscor;75;95;125;45;75;95;510.0;Ground;Flying;Hyper Cutter;Sand Veil;Poison Heal;2 Def;Neutral;Bug;N/A;30;Nite Level h/ Razor Fang;
473;Mamoswine;110;130;80;70;60;80;530.0;Ice;Ground;Oblivious;Snow Cloak;Thick Fat;3 Atk;Neutral;Field;N/A;50;Level w/ Ancientpower;
474;Porygon-Z;85;80;70;135;75;90;535.0;Normal;N/A;Adaptability;Download;Analytic;3 SpA;N/A;Mineral;N/A;30;Trade w/ Dubious Disc;
475;Gallade;68;125;65;65;115;80;518.0;Psychic;Fighting;Steadfast;N/A;Justified;3 Atk;M (100%);Human-Like;Amorphous;45;Dawn StoneM;
475;Mega Gallade;68;165;95;65;115;110;618.0;Psychic;Fighting;Inner Focus;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
476;Probopass;60;55;145;75;150;40;525.0;Rock;Steel;Sturdy;Magnet Pull;Sand Force;1 Def/2 SpD;Neutral;Mineral;N/A;60;Level a/ Mt. Coronet;
477;Dusknoir;45;100;135;65;135;45;525.0;Ghost;N/A;Pressure;N/A;Frisk;1 Def/2 SpD;Neutral;Amorphous;N/A;45;Trade w/ Reaper Cloth;
478;Froslass;70;80;70;80;70;110;480.0;Ice;Ghost;Snow Cloak;N/A;Cursed Body;2 Spe;F (100%);Fairy;Mineral;75;Dawn StoneF;
478;Mega Froslass;70;80;70;140;100;120;580.0;Ice;Ghost;Snow Warning;N/A;N/A;N/A;F (100%);N/A;N/A;N/A;N/A;
479;Rotom;50;50;77;95;77;91;440.0;Electric;Ghost;Levitate;N/A;N/A;1 SpA/1 Spe;N/A;Amorphous;N/A;45;N;
480;Uxie;75;75;130;75;130;95;580.0;Psychic;N/A;Levitate;N/A;N/A;2 Def/1 SpD;N/A;-;N/A;3;N;
481;Mesprit;80;105;105;105;105;80;580.0;Psychic;N/A;Levitate;N/A;N/A;1 Atk/1 SpA/1 SpD;N/A;-;N/A;3;N;
482;Azelf;75;125;70;125;70;115;580.0;Psychic;N/A;Levitate;N/A;N/A;2 Atk/1 SpA;N/A;-;N/A;3;N;
483;Dialga;100;120;120;150;100;90;680.0;Steel;Dragon;Pressure;N/A;Telepathy;3 SpA;N/A;-;N/A;3;N;
483;Origin Dialga;100;100;120;150;120;90;680.0;Steel;Dragon;N/A;N/A;N/A;3 SpA;N/A;N/A;N/A;N/A;N;
484;Origin Palkia;90;100;100;150;120;120;680.0;Water;Dragon;N/A;N/A;N/A;3 SpA;N/A;N/A;N/A;N/A;N;
484;Palkia;90;120;100;150;120;100;680.0;Water;Dragon;Pressure;N/A;Telepathy;3 SpA;N/A;-;N/A;3;N;
485;Heatran;91;90;106;130;106;77;600.0;Fire;Steel;Flash Fire;N/A;Flame Body;3 SpA;Neutral;-;N/A;3;N;
485;Mega Heatran;91;120;106;175;141;67;700.0;Fire;Steel;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
486;Regigigas;110;160;110;80;110;100;670.0;Normal;N/A;Slow Start;N/A;N/A;3 Atk;N/A;-;N/A;3;N;
487;Giratina;150;100;120;100;120;90;680.0;Ghost;Dragon;Pressure;N/A;Telepathy;3 HP;N/A;-;N/A;3;N;
488;Cresselia;120;70;110;75;120;85;580.0;Psychic;N/A;Levitate;N/A;N/A;3 SpD;F (100%);-;N/A;3;N;
489;Phione;80;80;80;80;80;80;480.0;Water;N/A;Hydration;N/A;N/A;1 HP;N/A;-;N/A;30;N;
490;Manaphy;100;100;100;100;100;100;600.0;Water;N/A;Hydration;N/A;N/A;3 HP;N/A;-;N/A;3;N;
491;Darkrai;70;90;90;135;90;125;600.0;Dark;N/A;Bad Dreams;N/A;N/A;1 Spe/2 SpA;N/A;-;N/A;3;N;
491;Mega Darkrai;70;120;130;165;130;85;700.0;Dark;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
492;Shaymin;100;100;100;100;100;100;600.0;Grass;N/A;Natural Cure;N/A;N/A;3 HP;N/A;-;N/A;45;N;
493;Arceus;120;120;120;120;120;120;720.0;Normal;N/A;Multitype;N/A;N/A;3 HP;N/A;-;N/A;3;N;
494;Victini;100;100;100;100;100;100;600.0;Psychic;Fire;Victory Star;N/A;N/A;3 HP;N/A;-;N/A;3;N;
495;Snivy;45;45;55;45;55;63;308.0;Grass;N/A;Overgrow;N/A;Contrary;1 Spe;M (87.5%);Field;Grass;45;N/A;
496;Servine;60;60;75;60;75;83;413.0;Grass;N/A;Overgrow;N/A;Contrary;2 Spe;M (87.5%);Field;Grass;45;Lv. 17;
497;Serperior;75;75;95;75;95;113;528.0;Grass;N/A;Overgrow;N/A;Contrary;3 Spe;M (87.5%);Field;Grass;45;Lv. 36;
498;Tepig;65;63;45;45;45;45;308.0;Fire;N/A;Blaze;N/A;Thick Fat;1 HP;M (87.5%);Field;N/A;45;N/A;
499;Pignite;90;93;55;70;55;55;418.0;Fire;Fighting;Blaze;N/A;Thick Fat;2 Atk;M (87.5%);Field;N/A;45;Lv. 17;
500;Emboar;110;123;65;100;65;65;528.0;Fire;Fighting;Blaze;N/A;Reckless;3 Atk;M (87.5%);Field;N/A;45;Lv. 36;
500;Mega Emboar;110;148;75;110;110;75;628.0;Fire;Fighting;Mold Breaker;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
501;Oshawott;55;55;45;63;45;45;308.0;Water;N/A;Torrent;N/A;Shell Armor;1 SpA;M (87.5%);Field;N/A;45;N/A;
502;Dewott;75;75;60;83;60;60;413.0;Water;N/A;Torrent;N/A;Shell Armor;2 SpA;M (87.5%);Field;N/A;45;Lv. 17;
503;Samurott;95;100;85;108;70;70;528.0;Water;N/A;Torrent;N/A;Shell Armor;3 SpA;M (87.5%);Field;N/A;45;Lv. 36;
503;Samurott-Hisuian;90;108;80;100;65;85;528.0;Water;Dark;Torrent;N/A;Shell Armor;3 SpA;M (87.5%);N/A;N/A;N/A;Level 36 (Hisui Only);
504;Patrat;45;55;39;35;39;42;255.0;Normal;N/A;Run Away;Keen Eye;Analytic;1 Atk;Neutral;Field;N/A;255;N/A;
505;Watchog;60;85;69;60;69;77;420.0;Normal;N/A;Illuminate;Keen Eye;Analytic;1 Atk;Neutral;Field;N/A;255;Lv. 20;
506;Lillipup;45;60;45;25;45;55;275.0;Normal;N/A;Vital Spirit;Pickup;Run Away;1 Atk;Neutral;Field;N/A;255;N/A;
507;Herdier;65;80;65;35;65;60;370.0;Normal;N/A;Intimidate;Sand Rush;Scrappy;2 Atk;Neutral;Field;N/A;120;Lv. 16;
508;Stoutland;85;110;90;45;90;80;500.0;Normal;N/A;Intimidate;Sand Rush;Scrappy;3 Atk;Neutral;Field;N/A;45;Lv. 32;
509;Purrloin;41;50;37;50;37;66;281.0;Dark;N/A;Limber;Unburden;Prankster;1 Spe;Neutral;Field;N/A;255;N/A;
510;Liepard;64;88;50;88;50;106;446.0;Dark;N/A;Limber;Unburden;Prankster;2 Spe;Neutral;Field;N/A;90;Lv. 20;
511;Pansage;50;53;48;53;48;64;316.0;Grass;N/A;Gluttony;N/A;Overgrowth;1 Spe;M (87.5%);Field;N/A;190;N/A;
512;Simisage;75;98;63;98;63;101;498.0;Grass;N/A;Gluttony;N/A;Overgrowth;2 Spe;M (87.5%);Field;N/A;75;Leaf Stone;
513;Pansear;50;53;48;53;48;64;316.0;Fire;N/A;Gluttony;N/A;Blaze;1 Spe;M (87.5%);Field;N/A;190;N/A;
514;Simisear;75;98;63;98;63;101;498.0;Fire;N/A;Gluttony;N/A;Blaze;2 Spe;M (87.5%);Field;N/A;75;Fire Stone;
515;Panpour;50;53;48;53;48;64;316.0;Water;N/A;Gluttony;N/A;Torrent;1 Spe;M (87.5%);Field;N/A;190;N/A;
516;Simipour;75;98;63;98;63;101;498.0;Water;N/A;Gluttony;N/A;Torrent;2 Spe;M (87.5%);Field;N/A;75;Water Stone;
517;Munna;76;25;45;67;55;24;292.0;Psychic;N/A;Forewarn;Synchronize;Telepathy;1 HP;Neutral;Field;N/A;190;N/A;
518;Musharna;116;55;85;107;95;29;487.0;Psychic;N/A;Forewarn;Synchronize;Telepathy;2 HP;Neutral;Field;N/A;75;Moon Stone;
519;Pidove;50;55;50;36;30;43;264.0;Normal;Flying;Big Pecks;Super Luck;Rivalry;1 Atk;Neutral;Flying;N/A;255;N/A;
520;Tranquill;62;77;62;50;42;65;358.0;Normal;Flying;Big Pecks;Super Luck;Rivalry;2 Atk;Neutral;Flying;N/A;120;Lv. 21;
521;Unfezant;80;115;80;65;55;93;488.0;Normal;Flying;Big Pecks;Super Luck;Rivalry;3 Atk;Neutral;Flying;N/A;45;Lv. 32;
522;Blitzle;45;60;32;50;32;76;295.0;Electric;N/A;Lightningrod;Motor Drive;Sap Sipper;1 Spe;Neutral;Field;N/A;190;N/A;
523;Zebstrika;75;100;63;80;63;116;497.0;Electric;N/A;Lightningrod;Motor Drive;Sap Sipper;2 Spe;Neutral;Field;N/A;75;Lv. 27;
524;Roggenrola;55;75;85;25;25;15;280.0;Rock;N/A;Sturdy;N/A;Sand Force;1 Def;Neutral;Mineral;N/A;255;N/A;
525;Boldore;70;105;105;50;40;20;390.0;Rock;N/A;Sturdy;N/A;Sand Force;1 Atk/1 Def;Neutral;Mineral;N/A;120;Lv. 25;
526;Gigalith;85;135;130;60;80;25;515.0;Rock;N/A;Sturdy;N/A;Sand Force;3 Atk;Neutral;Mineral;N/A;45;Trade;
527;Woobat;65;45;43;55;43;72;323.0;Psychic;Flying;Unaware;Klutz;Simple;1 Spe;Neutral;Field;Flying;190;N/A;
528;Swoobat;67;57;55;77;55;114;425.0;Psychic;Flying;Unaware;Klutz;Simple;2 Spe;Neutral;Field;Flying;45;Friendship;
529;Drilbur;60;85;40;30;45;68;328.0;Ground;N/A;Sand Rush;Sand Force;Mold Breaker;1 Atk;Neutral;Field;N/A;120;N/A;
530;Excadrill;110;135;60;50;65;88;508.0;Ground;Steel;Sand Rush;Sand Force;Mold Breaker;2 Atk;Neutral;Field;N/A;60;Lv. 31;
530;Mega Excadrill;110;165;100;65;65;103;608.0;Ground;Steel;Piercing Drill;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
531;Audino;103;60;86;60;86;50;445.0;Normal;N/A;Healer;Regenerator;Klutz;2 HP;Neutral;Fairy;N/A;255;N;
531;Mega Audino;103;60;126;80;126;50;545.0;Normal;Fairy;Healer;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
532;Timburr;75;80;55;25;35;35;305.0;Fighting;N/A;Guts;Sheer Force;Iron Fist;1 Atk;M (75%);Human-Like;N/A;180;N/A;
533;Gurdurr;85;105;85;40;50;40;405.0;Fighting;N/A;Guts;Sheer Force;Iron Fist;2 Atk;M (75%);Human-Like;N/A;90;Lv. 25;
534;Conkeldurr;105;140;95;55;65;45;505.0;Fighting;N/A;Guts;Sheer Force;Iron Fist;3 Atk;M (75%);Human-Like;N/A;45;Trade;
535;Tympole;50;50;40;50;40;64;294.0;Water;N/A;Swift Swim;Hydration;Water Absorb;1 Spe;Neutral;Water 1;N/A;255;N/A;
536;Palpitoad;75;65;55;65;55;69;384.0;Water;Ground;Swift Swim;Hydration;Water Absorb;2 HP;Neutral;Water 1;N/A;120;Lv. 25;
537;Seismitoad;105;95;75;85;75;74;509.0;Water;Ground;Swift Swim;Poison Touch;Water Absorb;3 HP;Neutral;Water 1;N/A;45;Lv. 36;
538;Throh;120;100;85;30;85;45;465.0;Fighting;N/A;Guts;Inner Focus;Mold Breaker;2 HP;M (100%);Human-Like;N/A;45;N/A;
539;Sawk;75;125;75;30;75;85;465.0;Fighting;N/A;Sturdy;Inner Focus;Mold Breaker;2 Atk;M (100%);Human-Like;N/A;45;N/A;
540;Sewaddle;45;53;70;40;60;42;310.0;Bug;Grass;Swarm;Chlorophyll;Overcoat;1 Def;Neutral;Bug;N/A;255;N/A;
541;Swadloon;55;63;90;50;80;42;380.0;Bug;Grass;Leaf Guard;Chlorophyll;Overcoat;2 Def;Neutral;Bug;N/A;120;Lv. 20;
542;Leavanny;75;103;80;70;80;92;500.0;Bug;Grass;Swarm;Chlorophyll;Overcoat;3 Atk;Neutral;Bug;N/A;45;Friendship;
543;Venipede;30;45;59;30;39;57;260.0;Bug;Poison;Poison Point;Swarm;Speed Boost;1 Def;Neutral;Bug;N/A;255;N/A;
544;Whirlipede;40;55;99;40;79;47;360.0;Bug;Poison;Poison Point;Swarm;Speed Boost;2 Def;Neutral;Bug;N/A;120;Lv. 22;
545;Mega Scolipede;60;140;149;75;99;62;585.0;Bug;Poison;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
545;Scolipede;60;100;89;55;69;112;485.0;Bug;Poison;Poison Point;Swarm;Speed Boost;3 Spe;Neutral;Bug;N/A;45;Lv. 30;
546;Cottonee;40;27;60;37;50;66;280.0;Grass;Fairy;Prankster;Infiltrator;Chlorophyll;1 Spe;Neutral;Grass;Fairy;190;N/A;
547;Whimsicott;60;67;85;77;75;116;480.0;Grass;Fairy;Prankster;Infiltrator;Chlorophyll;2 Spe;Neutral;Grass;Fairy;75;Sun Stone;
548;Petilil;45;35;50;70;50;30;280.0;Grass;N/A;Chlorophyll;Own Tempo;Leaf Guard;1 SpA;F (100%);Grass;N/A;190;N/A;
549;Lilligant;70;60;75;110;75;90;480.0;Grass;N/A;Chlorophyll;Own Tempo;Leaf Guard;2 SpA;F (100%);Grass;N/A;75;Sun Stone;
549;Lilligant-Hisuian;70;105;75;50;75;105;480.0;Grass;Fighting;Chlorophyll;Hustle;Leaf Guard;2 SpA;F (100%);N/A;N/A;N/A;Sun Stone (Hisui Only);
550;Basculin-Blue;70;92;65;80;55;98;460.0;Water;N/A;Rock Head;Adaptability;Mold Breaker;2 Spd;Neutral;N/A;N/A;N/A;N;
550;Basculin-Red;70;92;65;80;55;98;460.0;Water;N/A;Reckless;Adaptability;Mold Breaker;2 Spe;Neutral;Water 2;N/A;25;N;
550;Basculin-White;70;92;65;80;55;98;460.0;Water;N/A;Rattled;Adaptability;Mold Breaker;2 Spd;Neutral;N/A;N/A;N/A;N/A;
551;Sandile;50;72;35;35;35;65;292.0;Ground;Dark;Intimidate;Moxie;Anger Point;1 Atk;Neutral;Field;N/A;180;N/A;
552;Krokorok;60;82;45;45;45;74;351.0;Ground;Dark;Intimidate;Moxie;Anger Point;2 Atk;Neutral;Field;N/A;90;Lv. 29;
553;Krookodile;95;117;80;65;70;92;519.0;Ground;Dark;Intimidate;Moxie;Anger Point;3 Atk;Neutral;Field;N/A;45;Lv. 40;
554;Darumaka;70;90;45;15;45;50;315.0;Fire;N/A;Hustle;N/A;Inner Focus;1 Atk;Neutral;Field;N/A;120;N/A;
554;Darumaka-Galarian;70;90;45;15;45;50;315.0;Ice;N/A;Hustle;N/A;Inner Focus;1 Atk;Neutral;N/A;N/A;N/A;N/A;
555;Darmanitan;105;140;55;30;55;95;480.0;Fire;N/A;Sheer Force;N/A;Zen Mode;2 Atk;Neutral;Field;N/A;60;Lv. 35;
555;Darmanitan-Galarian;105;140;55;30;55;95;480.0;Ice;N/A;Gorilla Tactics;N/A;Zen Mode;2 Atk;Neutral;N/A;N/A;N/A;Ice Stone;
556;Maractus;75;86;67;106;67;60;461.0;Grass;N/A;Water Absorb;Chlorophyll;Storm Drain;2 SpA;Neutral;Grass;N/A;255;N;
557;Dwebble;50;65;85;35;35;55;325.0;Bug;Rock;Sturdy;Shell Armor;Weak Armor;1 Def;Neutral;Bug;Mineral;190;N/A;
558;Crustle;70;105;125;65;75;45;485.0;Bug;Rock;Sturdy;Shell Armor;Weak Armor;2 Def;Neutral;Bug;Mineral;75;Lv. 34;
559;Scraggy;50;75;70;35;70;48;348.0;Dark;Fighting;Shed Skin;Moxie;Intimidate;1 Atk;Neutral;Field;Dragon;180;N/A;
560;Mega Scrafty;65;130;135;55;135;68;588.0;Dark;Fighting;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
560;Scrafty;65;90;115;45;115;58;488.0;Dark;Fighting;Shed Skin;Moxie;Intimidate;1 Def/1 SpD;Neutral;Field;Dragon;90;N/A;
561;Sigilyph;72;58;80;103;80;97;490.0;Psychic;Flying;Wonder Skin;Magic Guard;Tinted Lenses;2 SpA;Neutral;Flying;N/A;45;N/A;
562;Yamask;38;30;85;55;65;30;303.0;Ghost;N/A;Mummy;N/A;N/A;1 Def;Neutral;Mineral;Amorphous;190;N/A;
562;Yamask-Galarian;38;55;85;30;65;30;303.0;Ground;Ghost;Wandering Spirit;N/A;N/A;1 Def;Neutral;N/A;N/A;N/A;N/A;
563;Cofagrigus;58;50;145;95;105;30;483.0;Ghost;N/A;Mummy;N/A;N/A;2 Def;Neutral;Mineral;Amorphous;90;Lv. 34;
564;Tirtouga;54;78;103;53;45;22;355.0;Water;Rock;Solid Rock;Sturdy;Swift Swim;1 Def;M (87.5%);Water 1;Water 3;45;N/A;
565;Carracosta;74;108;133;83;65;32;495.0;Water;Rock;Solid Rock;Sturdy;Swift Swim;2 Def;M (87.5%);Water 1;Water 3;45;Lv. 37;
566;Archen;55;112;45;74;45;70;401.0;Rock;Flying;Defeatist;N/A;N/A;1 Atk;M (87.5%);Flying;Water 3;45;N/A;
567;Archeops;75;140;65;112;65;110;567.0;Rock;Flying;Defeatist;N/A;N/A;2 Atk;M (87.5%);Flying;Water 3;45;Lv. 37;
568;Trubbish;50;50;62;40;62;65;329.0;Poison;N/A;Stench;Sticky Hold;Aftermath;1 Spe;Neutral;Mineral;N/A;190;N/A;
569;Garbodor;80;95;82;60;82;75;474.0;Poison;N/A;Stench;Weak Armor;Aftermath;2 Atk;Neutral;Mineral;N/A;60;Lv. 36;
570;Zorua;40;65;40;80;40;65;330.0;Dark;N/A;Illusion;N/A;N/A;1 SpA;M (87.5%);Field;N/A;75;N/A;
570;Zorua-Hisuian;35;60;40;85;40;70;330.0;Normal;Ghost;Illusion;N/A;N/A;1 SpA;M (87.5%);N/A;N/A;N/A;N/A;
571;Zoroark;60;105;60;120;60;105;510.0;Dark;N/A;Illusion;N/A;N/A;2 SpA;M (87.5%);Field;N/A;45;Lv. 30;
571;Zoroark-Hisuian;55;100;60;125;60;110;510.0;Normal;Ghost;Illusion;N/A;N/A;2 SpA;M (87.5%);N/A;N/A;N/A;Level 30;
572;Minccino;55;50;40;40;40;75;300.0;Normal;N/A;Cute Charm;Technician;Skill Link;1 Spe;F (75%);Field;N/A;255;N/A;
573;Ciccino;75;95;60;65;60;115;470.0;Normal;N/A;Cute Charm;Technician;Skill Link;2 Spe;F (75%);Field;N/A;60;Shiny Stone;
574;Gothita;45;30;50;55;65;45;290.0;Psychic;N/A;Frisk;Competitive;Shadow Tag;1 SpD;F (75%);Human-Like;N/A;200;N/A;
575;Gothorita;60;45;70;75;85;55;390.0;Psychic;N/A;Frisk;Competitive;Shadow Tag;2 SpD;F (75%);Human-Like;N/A;100;Lv. 32;
576;Gothitelle;70;55;95;95;110;65;490.0;Psychic;N/A;Frisk;Competitive;Shadow Tag;3 SpD;F (75%);Human-Like;N/A;50;Lv. 41;
577;Solosis;45;30;40;105;50;20;290.0;Psychic;N/A;Overcoat;Magic Guard;Regenerator;1 SpA;Neutral;Amorphous;N/A;200;N/A;
578;Duosion;65;40;50;125;60;30;370.0;Psychic;N/A;Overcoat;Magic Guard;Regenerator;2 SpA;Neutral;Amorphous;N/A;100;Lv. 32;
579;Reuniclus;110;65;75;125;85;30;490.0;Psychic;N/A;Overcoat;Magic Guard;Regenerator;3 SpA;Neutral;Amorphous;N/A;50;Lv. 41;
580;Ducklett;62;44;50;44;50;55;305.0;Water;Flying;Keen Eye;Big Pecks;Hydration;1 HP;Neutral;Water 1;Flying;190;N/A;
581;Swanna;75;87;63;87;63;98;473.0;Water;Flying;Keen Eye;Big Pecks;Hydration;2 Spe;Neutral;Water 1;Flying;45;Lv. 35;
582;Vanillite;36;50;50;65;60;44;305.0;Ice;N/A;Ice Body;N/A;Weak Armor;1 SpA;Neutral;Mineral;N/A;255;N/A;
583;Vanillish;51;65;65;80;75;59;395.0;Ice;N/A;Ice Body;N/A;Weak Armor;2 SpA;Neutral;Mineral;N/A;120;Lv. 35;
584;Vanilluxe;71;95;85;110;95;79;535.0;Ice;N/A;Ice Body;N/A;Weak Armor;3 SpA;Neutral;Mineral;N/A;45;Lv. 47;
